,state,age,title,content,date,negative_worde
688,AGRA,['16-year-old'],Allahabad HC raps SIT over probe in rape-murder case of schoolgirl,"AGRA: The Allahabad high court (HC) has expressed displeasure with the speed of investigation in the case of the death of a 16-year-old student in Uttar Pradesh's Mainpuri back in 2019. The girl was allegedly raped and found hanging inside a prominent government residential school building. The court aired its dissatisfaction after the state government submitted the status report of the case earlier this week which suggested that DNA samples of 170 suspects have been taken and sent to a laboratory for testing. The results are yet to be received. The court ordered the director general of police (DGP) to appear in person in case the DNA test reports are not in by October 25, which is the next date of hearing. On September 17, the government had announced a fresh special investigation team (SIT) to take over the case after the court pulled up the UP police for being careless with the probe. The DGP had admitted to serious lapses in investigation. He had informed the court that semen was detected on the victim’s underwear during lab tests, but the investigation officer did not send it for DNA testing within 45 days, as mandated. This would have helped match the sample with that of the accused named in the FIR as well as of other suspects. Earlier, TOI had reported that the new SIT investigating the case had collected blood samples of the suspects, including that of the son of a UP cabinet minister. A reward of Rs 1 lakh was also announced for those who came up with leads in the case by ADG of Kanpur zone, Bhanu Bhaskar, who is heading the new SIT. The case was initially believed to that of suicide. However, an FIR was subsequently registered against the school principal, hostel warden, and a boy from the arts stream with charges of murder and attempt to rape, based on a complaint filed by the girl’s father. Rape charges were added after the post-mortem report found clotted blood in the vagina and a torn hymen. (The victim's identity has not been revealed to protect her privacy as per Supreme Court directives on cases related to sexual assault)",22-10-2021,"['displeasure', 'death', 'raped', 'dissatisfaction', 'careless', 'lapses', 'suicide', 'murder', 'rape', 'complaint', 'assault']"
689,AGRA,['16-year-old'],Mainpuri’s Nayodaya student suicide: Probe handed over to STF,"AGRA: A week after the alleged suicide by a 16-year-old class XI girl student of Jawahar Navodaya Vidyalaya in Mainpuri’s Bhogaon, the investigations of the case were handed over to a Special Task Force (STF) on Tuesday. However, the victim’s family members are still demanding a CBI inquiry into the matter. STF Inspector general (IG) Amitabh Yash, said that a STF of Agra will investigate the case in detail. Though there is no time frame, they will try to submit report as soon as possible. The deceased’s mother however, expressed dissatisfaction with the government’s move and said that a CBI inquiry should be conducted into the matter. “My daughter was murdered in her school and I want justice for her. Only CBI can fairly investigate the case,” she told media persons while sitting on the second day of her hunger strike at Shaheed park. Alleging that her daughter was murdered, she said that she was not informed by the school authorities about the incident even after the doctors had declared her dead. She told TOI that she got to know about the incident from her relative, who had gone to the hospital for his wife’s check up. Earlier, the victim’s father had lodged an FIR against the principal, warden of the school and a youth on charges of attempt to rape and murder a day after the incident reported. However, the girl, who hung herself inside the hostel’s prayer room on September 16, had left a suicide note in which she wrote that she was ending her life as she was “never forgiven and subjected to constant humiliation” by students of the school after she stole a packet of snacks three years ago. One of her classmates had told media persons that the girl was slapped by almost 48 students for stealing the namkeen packet. She said that this was done in order to teach her a lesson and claimed that the incident was in the knowledge of the teachers and the principal but no action was taken by them against the students. ",24-09-2019,"['suicide', 'dissatisfaction', 'strike', 'dead', 'rape', 'murder', 'hung', 'suicide', 'subjected', 'humiliation', 'stole', 'stealing']"
690,BHOPAL,[],"Journalism student who accused MLA Hemant Katare of rape, kills self after policeman refuses to marry her","BHOPAL: A journalism student, who had accused Congress MLA Hemant Katare of rape, allegedly committed suicide in Uttar Pradesh. The incident was reported at Jhunsi police station in UP’s Pragyaraj area. Her family members said she consumed poison after a policeman refused to marry her unless she gave more dowry. Her wedding was scheduled to be held on May 15. The FIR lodged by Jhunsi police states that the girl had met the policeman on social media and visited Bhopal twice to meet him. Later, they decided to marry after mutual talks between the families. But on Thursday, his family refused to go ahead with the proposal, unless they were given Rs 40 lakh as dowry besides a car that was already given to him last month. The Madhya Pradesh high court (MPHC) had recently stayed proceedings of Bhopal police’s FIR against Katare on allegations made by the student. It was hearing two separate petitions filed by Katare in the high court seeking quashing of both FIRs against him — one filed by the journalism student, accusing him of rape and another by her mother charging him with abduction and illegal confinement. Earlier, she had sent an application to the DIG, Bhopal, while she was in judicial custody, accusing the Congress MLA of rape. Based on the application, an FIR was lodged against Katare at the Mahila Thana, charging him with rape. Another FIR was lodged by the girl’s mother at Bajaria police station charging Katare with illegal confinement and rape. ",04-05-2019,"['rape', 'suicide', 'poison', 'refused', 'refused', 'allegations', 'accusing', 'rape', 'illegal', 'accusing', 'rape', 'rape', 'illegal', 'rape']"
691,JAIPUR,['15-year-old'],No Rajasthan HC relief for teacher in suicide abetment case,"JAIPUR: A single bench of Rajasthan High Court denied any relief to the then physical training instructor (PTI) of St. Xavier’s Senior Secondary School, Nevta in connection with the suicide case of 15-year-old student. The bench dismissed the petition requesting quashing of FIR against him. The accused PTI in the petition said that an FIR was lodged against him on May 2, 2018 alleging that deceased committed suicide in the night of April 25. It was alleged in the FIR that the deceased was under severe mental pressure because of misbehaviour and ill-treatment by the petitioner. The petitioner also informed the court since the deceased was regularly bunking class his parents were asked to come to the school on April 26 and a day prior to this he committed suicide. It was also said by the petitioner that no abatement of suicide case can be made. “We opposed the petition since the police after proper investigation came to the conclusion that offence under section 305 of IPC is made out against the petitioner. The CCTV footage also revealed that petitioner unnecessarily harassed the deceased in front of his classmates. The deceased chatted on Instagram with his friend and complained about the present petitioner. We raised objection to the quashing of FIR,” said Deepak Chouhan, counsel for the family of deceased boy. The court of Justice Pankaj Bhandari said that the child aged 15 years who committed suicide because he was humiliated in presence of his classmates which had made a grave impact. Since FIR has disclosed and police concluded the offence under section 305 of IPC is made the petition to quash FIR is dismissed. ",03-05-2019,"['denied', 'suicide', 'suicide', 'severe', 'ill-treatment', 'suicide', 'suicide', 'offence', 'harassed', 'complained', 'objection', 'suicide', 'offence', 'quash']"
692,LUCKNOW,[],Lucknow: SC directs ICERT to help SIT in La Mart student’s death probe,"LUCKNOW: The Supreme Court (SC) has directed the Indian Computer Emergency Response Team (ICERT) of the Union ministry of electronics and information technology to help the special investigation team (SIT) in investigation into the alleged murder of Class 9 student, Rahul Sridhar, in 2015. Rahul (15), a student of the La Martiniere Boys College, had fallen to death from the 60-feet tall Constantia building on the school campus on April 10, 2015. The apex court issued the directives on a petition filed in 2017 by Rahul’s brother, Rohit Sridhar, who informed the police that Rahul was in touch with one ‘Larry Conners’ through the internet and investigators have not been able to trace him. He said ‘Larry Conners’ might have a role in Rahul’s death. “We are not averse to issuing a direction to the SIT to find out Larry Conners. If some information is forthcoming in that direction, the SIT would pursue that as there is no other aspect on which we can issue any other directions to the SIT,” the order said. “The SIT would endeavour to conclude this aspect as early as possible. The Indian Computer Emergency Response Team under the ministry of electronics and information technology will render whatever assistance is required,” the order added. The petitioner raised several objections to the probe conducted by the SIT, which was formed on the directions of the SC in 2019. Following the objections, the court issued an order on November 2, 2020 regarding the constitution of another SIT to conduct a fresh probe into the case. The counsel for the victim in the case, Alok Singh, told TOI that Rahul was being misguided by a person, ‘Larry Conners’, as it appears from virtual chats on Facebook. “He was not acting on his own volitions but was under influence,” he said, adding that the Lucknow police got details from Facebook, including email IDs and IP addresses, but did not act on the details and the investigation met a dead end. A week after his death in 2015, his parents filed a murder case against unidentified persons. However, in its final report submitted to the trial court, police termed Rahul’s death a suicide. In February 2016, the family challenged the report in the court of the chief judicial magistrate who ordered a reinvestigation. Next year, the family moved the high court and sought a CBI probe but the High Court directed the police to conclude investigations within a month. It dismissed the demand for a probe by an independent agency. The family was forced to knock on the doors of the Supreme Court which first took up the issue on the basis of a special leave petition (SLP) filed by Rohit Sridhar in 2017. ",09-10-2021,"['murder', 'fallen', 'death', 'death', 'averse', 'issue', 'objections', 'objections', 'misguided', 'dead', 'death', 'murder', 'death', 'suicide', 'knock', 'issue']"
693,AURANGABAD,['20-year-old'],20-year-old engineering student commits suicide,"AURANGABAD: A 20-year-old girl student pursuing her engineering degree from a city-based college, committed suicide on Friday. The incident took place at Siddhivinayak Girls’ hostel, a private hostel situated in the limits of Vedant Nagar police station. The deceased has been identified as Asihwarya Balaji Mundkar, from Selu in Parbhani district. The primary investigation in the case has revealed that on Friday morning, when her roommates left for college, she refused to go along with them citing some reasons. It was around 5 pm, when her roommate came back, she could not get any response against the repeated knocks at the door. Later she peeped from the window to find Aishwarya hanging from the ceiling. She raised an alarm, following which the hostel warden informed the police. Vedant Nagar police inspector DS Shingare rushed to the spot and with the help of his staffers brought down the girl and took her to Government Medical College and Hospital, where she was declared brought dead. During spot panchnama, the police have found a suicide note, she reportedly left in a register before taking the extreme step. ",23-09-2017,"['suicide', 'limits', 'refused', 'alarm', 'dead', 'suicide']"
694,LUCKNOW,[],17-year-old girl commits suicide,"LUCKNOW: A girl allegedly committed suicide by hanging herself over an failure under Gazipur police station on Thursday. The deceased, Zeenat Raza (17) was a student of BA first year. Police said that the girl was in a relationship with her neighbour who refused to marry her and hence she took the extreme step. Singh said that police would lodge an FIR and take action against the boy if the girl's family gives a complaint. No suicide note was recovered from the spot while the body was sent for postmortem examination. ",21-12-2018,"['suicide', 'failure', 'refused', 'complaint', 'suicide']"
695,VIJAYAWADA,[],Student ends life in Guntur district,"VIJAYAWADA: An intermediate student committed student by jumping into a well at Kesanapalli village under Dachepalli mandal in Guntur district on Thursday. The deceased was identified as Srinivas (17), an intermediate second year student. According to Dachepalli police, the incident happened in the morning, when locals found his body floating inside the well. Cops suspect that Srinivas must have taken the extreme step last night. Upon further inquiry, cops found out that with the exams fast approaching, Srinivas was recently reprimanded by his parents for not focusing on his students. Cops also said that Srinivas felt depressed about the incident and went missing in the night and to their parents shock they learnt about his body lying in the well in the morning. Cops along with the help of locals fished out the body from the well and sent it to a local government hospital for post-mortem. A case under section 174 of CrPC (unnatural death) was registered at Dachepalli police station. Further investigation is still on. ",17-01-2019,"['suspect', 'depressed', 'shock', 'lying', 'unnatural', 'death']"
696,RUDRAPUR,"['23-year-old', '28-year-old']",Two suicide recorded in a day in US Nagar,"RUDRAPUR: In two separate incidents of suicide, a 23-year-old engineering student and a 28-year-old woman ended their lives at their respective homes in Rudrapur on Wednesday. In the first incident, Deepak Singh, pursuing engineering from a college in Faridabad (Haryana), ended his life by inhaling some poisonous gas at his residence in Janpath enclave in the city. His father Amreek Singh, who works in a factory in Pantnagar industrial area, found him unconscious after he returned from his night shift. Amreek Singh told the police that his son was in the city ever since the lockdown. Police recovered an inhaling device and a suicide note from the room which read that he was fed up of his life but the reason behind the extreme step was not mentioned. The body was sent for postmortem while the inhaling device was sent for forensic examination. In yet another incident which took place in Azad Nagar of Transit Camp area, Anshu Sharma ended her life by hanging herself from the ceiling fan in her bedroom. She was married to Anil Sharma, who works in the Pantnagar industrial area. Sharma told the police that his wife was in depression for the past few years for not being able to bear a child. However, no suicide note was recovered from the spot. Superintendent of police (city) Devendra Peencha said, “We have registered separate cases under section 174 of CrPc and investigation is underway to ascertain the reasons behind the deaths.” ",12-11-2020,"['suicide', 'poisonous', 'suicide', 'depression', 'suicide']"
697,HYDERABAD,"['17-year-old', '19-year-old', '18-year-old']",Telangana Inter results: 19 students commit suicide,"HYDERABAD: Three more Intermediate students, including two girls , committed suicide reportedly due to failure in their exams across Telangana over the past 24 hours. With this, the number of students, who committed suicide since the past few days, has gone up to 19. This is among the highest number of suicides recorded post Inter results, in the state, over the last four years. Read AlsoWhat happened to recommendations on suicide prevention?HYDERABAD: Even two decades after the Neerada Reddy Committee report suggested measures to prevent student suicides in erstwhile Andhra Pradesh, nothing has been done yet to implement those. Following a rise in the number of Inter student suicides, the erstwhile AP government, in 2001, hadRights activists alleged that due to negligence of the officials who released the Intermediate results in a hurried manner and without proper checks, students were either committing suicide or slipping into depression. In 2018, six student suicides were reported after the results were announced. While there were no such suicides in 2015 and 2016, one Intermediate first-year student killed himself by jumping in front of a train in 2017. Also, unlike other years, when most of these cases were recorded within the first two to three days of the results being announced, this year, there have been suicides through the week. Intermediate results in Telangana were announced on April 18. On Tuesday late afternoon, a 17-year-old girl, S Jyothi, set herself ablaze at her home at Tirumalpur under Shadbad police limits while her parents were away. A student of commerce-economics-civics (CEC) at the Vivekananda Junior College, Jyothi failed in second year civics paper. “While neighbours, on hearing her screams, rushed to her rescue and tried to douse the fire, she had already suffered 80 per cent burns by then. She died by the time they could shift her to the hospital,” said M Ravi Kumar, sub inspector, Shadbad police station. Though Jyothi, daughter of an agriculturist, did not leave any suicide note, cops suspect she committed suicide because of failing in her exam. In another case reported from Bommalaramaram police station limits, a 19-year-old second-year Intermediate student, Mithi, who had failed in physics and zoology, hanged herself at her house late on Tuesday night. “She took the extreme step after her parents went to sleep. They noticed it only on Wednesday morning,” said K Venkatesh, sub inspector, Bommalaramaram police station. In the third case of suicide, an 18-year-old boy, C Raju, who failed in economics and civics papers, was found hanging from a tree on a school premises in Madur village under Shankarampet police station in Medak district. Cops said Raju’s family members found him missing from home when they woke up on Wednesday morning. During a search, along with locals, they found him hanging from a tree inside the school, located 200 metres from his residence. Alarmed at the spate of suicides, especially this year, teachers said there was an immediate need to reduce the pressure that is being mounted on students from various quarters. “Majority student suicides reported in the last many years is due to immense pressure put on them by college managements, especially corporate colleges, and parents. The race to secure better ranks and marks burdens the average student who is forced to match up to the standards of high-performing students,” said Madhusudan Reddy, president of the Telangana Government Junior Lecturers Association, adding how even the grading system has failed to take the pressure off students as thought. ",25-04-2019,"['suicide', 'failure', 'suicide', 'suicide', 'negligence', 'suicide', 'depression', 'killed', 'limits', 'failed', 'suffered', 'burns', 'died', 'suicide', 'suspect', 'suicide', 'failing', 'limits', 'failed', 'suicide', 'failed', 'failed']"
698,RAIPUR,"['17-year-old', '30-year-old']","In Bilaspur, boy’s suicide, a code in blood & ‘betrayal’ by woman teacher","RAIPUR: Feeling betrayed, humiliated and harassed, a 17-year-old school boy in Chhattisgarh took his own life, alleging sexual and mental abuse by a female teacher. He left behind a ‘coded’ suicide note on his laptop and a passkey — written in his blood on a wall — to decode it. The Class XI boy had a brilliant academic record, had won a science Olympiad last month, and was seen by peers and teachers as a tech wiz. He was found hanging at home in Bilaspur on March 18, minutes after the teacher visited him. Police have found chats on the boy’s mobile phone that indicate suffering and harassment at the hands of the teacher, and alleged provocation by her. Police used the passkey to decode the suicide note. Part of it says: “According to Indian society, men are always wrong. A woman can never be wrong. There is nothing like gender neutral rape laws. There is nothing like child harassment.” It’s possible he wasn’t aware of the Pocso Act, which is gender neutral. On the basis of the investigation so far, the accused, a 30-year-old, has been arrested on charges of provocation for suicide and sections 12, 13 of Pocso Act, investigation officer Parivesh Tiwari of Torwa police station told TOI. Police have seized a video of the suicide. The teacher is a ‘Shikshakarmi’ with a government school and used to teach chemistry at a private school that the boy was studying in last year. When TOI contacted the boy’s family, only his aunt could bring herself to talk about it. “We are devastated. I will never forget the sight of the boy hanging and the numbers written on the wall. It was terrifying. His suicide was recorded on his phone, which is now with police,” she said. “My nephew was a cyber and IT expert. He wasn’t eating properly for the past three months and looked troubled. He had got into a cocoon and would ask his mother not to disturb him as he was busy in studies. His laptop, which is with police, has details of his tragic story,” she said, adding that everyone in the family believed he was destined for great things. “Who knew it would end like this,” she said. On March 18, when the boy’s mother was leaving home for some work, one of his friends arrived with a woman, who had her face covered. He identified her as his sister and the mother had no reason to think otherwise. Police say she was the chemistry teacher, who once had a relationship with the victim. The duo went inside and met the boy. When his mother returned home, she found the door to his room shut from inside. She knocked repeatedly and called out to him but there was no answer. Her heart pounding with fear, she somehow forced the door open only to find her boy hanging from the ceiling. Preliminary investigation indicates that the teacher and the boy were in a relationship that turned into sexual and mental harassment. He was deeply disturbed after he learnt that she was having an affair with someone, said police. Tiwari said that the teacher was scheduled to marry a colleague soon. The chats indicate that the boy, despite feeling betrayed, was pleading with her and seeking love and importance from the woman but she responded coldly, say police. The boy has sought justice in the suicide note, alleging mental and sexual harassment.In her statement to police, however, the teacher has accused the boy of stalking her. She didn’t file a police complaint, nor did she share this with her friends and fiancé, say police. Asked why she visited the boy on the day of his suicide, she told police that she wanted to get her ‘hacked phone’ repaired as he was an expert in handling mobile phones. Police are taking the statements of the boy’s school friends and other teachers. It's not yet clear what happened after the teacher met the boy at his home on March 18. The friend who had taken her there is also being questioned. The victim’s mother has no idea where he got the new nylon rope he was found hanging with, as she had never seen it at home. “It’s a very grim case. It’s an example of how delicate the relationship between a teacher and student is, and there is a strong message here for everyone. We must pay attention to any sign of distress among teenagers and students. It’s the collective responsibility of teachers, parents and friends,” Parivesh Tiwari said. Social activist Priyanka Shukla, a Bilaspur high court advocate, believes the case needs to be investigated on several angles as there are many ‘open ended sides’ to it. “A special team of police should be constituted, headed by a senior officer, so that no stone remains unturned,” she said. ",27-03-2021,"['harassed', 'abuse', 'suicide', 'suffering', 'harassment', 'provocation', 'suicide', 'wrong', 'wrong', 'rape', 'provocation', 'suicide', 'suicide', 'devastated', 'suicide', 'troubled', 'disturb', 'tragic', 'fear', 'harassment', 'disturbed', 'coldly', 'suicide', 'complaint', 'suicide', 'grim', 'distress']"
699,Nagpur,[],15-year-old boy ends life after tiff with mother,"Nagpur: Porus Kshirsagar, aged about 15, died by suicide after being scolded by his mother at their residence in Gharkul Society in Beltarodi on Sunday. It’s learnt Porus, a student of Standard X, was berated by his mother over watering plants at their house. Miffed with mother, Porus consumed some poison. Later, he was rushed to a private hospital where doctors declared him dead. A case of accidental death has been registered at Beltarodi police station. Police said Porus’s mother earned livelihood by working as domestic help. The boy had left no suicide note. ",10-11-2020,"['died', 'suicide', 'scolded', 'poison', 'dead', 'accidental', 'death', 'suicide']"
700,VIJAYAWADA,[],Andhra Pradesh high court orders probe into suicide cases in colleges,"VIJAYAWADA: The Andhra Pradesh high court on Thursday directed the education department to register cases on all unnatural deaths reported at Sri Chaitanya, Narayana and other corporate junior colleges across the state. While as many as 46 Inter students committed suicide in 2017-18, 33 suicides have been allegedly taken place at the Narayana institutions. The bench of acting chief justice Ch Praveen Kumar and justice M Satyanarayana Murthy, in its judgment on a PIL filed by People’s Unit for Civil Liberties and Human Right Forum (HRF) directed the government to investigate cases of unnatural death and take necessary action. The PIL was filed in the month of January, this year. The petitioners said that too much of stress in corporate colleges are pushing the students to suicide. The court earlier issued notices to chief secretary, education commissioner and other officials in this case. Students and youth associations welcomed the judgment given by the court. “We have been fighting against corporate junior colleges which are killing the innocent youth. We have staged agitations and demanded that cops file cases. Governments supported these institutions and ruined Intermediate education in the state,” said A Ravi Chandra, president, Progressive Democratic Student Union (PDSU). ",02-08-2019,"['unnatural', 'suicide', 'unnatural', 'death', 'stress', 'suicide', 'killing', 'ruined']"
701,HYDERABAD,[],5 student suicides in 30 days: Humiliation to blame?,"HYDERABAD: With the death of five student in one month, serious concerns are being raised over lack of sensitivity among teachers or school managements in handling simple situations and the over hypersensitivity of children. While schools try to blame the death of the child on other reasons, in most of the cases humiliation faced in front of their peers, drives a child to the edge. “Humiliation at any point in school will deeply affect a child, to avoid any untoward incidents there should be proper communication between parents, teachers, and students,” said Aravinda Jata, a parent adding that schools should introspect as to why such incidents happen only in mediocre schools. Teachers, on the other hand, say that such suicides happen because parents are too possessive about their kids who have no practical exposure and fumble at the first sight of a problem. “A child will have a suicidal tendency if he/she is mentally weak. Parent’s possessiveness is making kids very sensitive. If a child thinks he needs to end his life, if the day is not going according to his wish, then it is a collective failure of teachers, parents, and society,” said A Lakshmi Darithri, principal, Surya-the Global School. Suicidal tendencies, according to doctors, are gradually developed behavioural problem. Dr Minhaz Zafar, a consultant psychiatrist at Apollo Hospitals, says at least 20 percent of the population is depressed at any given time but not even one percent approaches a doctor. “These days children have poor resilience. If we see the recent case where a girl committed suicide after school asked her parents to come and collect her cellphone which she brought to school, it clearly shows that she was worried about potential outcome,” said Dr Praveen Kumar C, a psychiatrist whose area of expertise include child psychology. “To overcome such problems, teachers should be trained to notice early warning signs of suicidal tendency and warn parents. Schools should have an in-house counselor, who should talk with students regularly and do not hesitate to talk about suicides and depression,” he added saying that children have poor frustration and ambiguity tolerance. ",06-02-2017,"['death', 'concerns', 'lack', 'blame', 'death', 'humiliation', 'mediocre', 'fumble', 'problem', 'suicidal', 'weak', 'failure', 'problem', 'depressed', 'poor', 'suicide', 'worried', 'problems', 'warning', 'suicidal', 'depression', 'poor', 'frustration', 'ambiguity']"
702,COIMBATORE,['19-year-old'],Medical aspirant commits suicide in Coimbatore,"COIMBATORE: A 19-year-old medical aspirant committed suicide in Coimbatore on Tuesday, a day after the Supreme Court dismissed a plea for postponement of the National Eligibility cum Entrance Test (NEET). The deceased has been identified as R Subhasree of RS Puram. After completing Class XII in a private school, Subhasree had been preparing for NEET for the past two years. “She appeared for the examination last year and secured close to 450 marks. As she had managed to get only a BDS seat and she wanted to study general medicine, she enrolled herself at a private coaching centre,” said a police official. The examination, which was usually conducted in May, was postponed due to Covid-19 pandemic. Meanwhile, students filed a plea before the Supreme Court requesting it to quash the July 3 notification of the National Testing Agency (NTA) that announced the examination dates. NEET would be held on September 13. The court on Monday dismissed the plea. The official said, “According to her parents, the deceased was under a lot of stress and was found anxious ever since the examination dates were confirmed.” On Tuesday evening, she locked herself inside a room. As there was no response from her, the parents broke open the door and found her hanging. Alerted by the family members, the RS Puram police rushed to the spot and recovered the body. After completing post-mortem in Coimbatore Medical College Hospital (CMCH), the body was handed over to her parents. The police registered a case under Section 174 (unnatural death) of IPC. ",19-08-2020,"['suicide', 'plea', 'plea', 'quash', 'plea', 'stress', 'anxious', 'broke', 'unnatural', 'death']"
703,KOLKATA,['22-year-old'],College senior charged with abetment to suicide after student found hanging,"KOLKATA: The police have registered a case against a youth for abeting the suicide of a 22-year-old woman who was his junior in college. The woman, hailing from Agartala in Tripura, was reportedly found hanging from the ceiling at her paying guest accommodation in the Bapuji Nagar area of Jadavpur a week ago. The accused, with whom the woman was reportedly very close, now works with a leading firm in Salt Lake. “We had received a complaint from the woman’s mother who claimed that the accused had instigated and abetted her daughter to commit suicide. Prima facie, given the importance and seriousness of the complaint, we filed the FIR under IPC Section 306. We have begun a probe. It is too early to arrive at any conclusion on whether we need to arrest the accused,” an officer from the Jadavpur police station said. According to the police, the woman was a third-year student of computer science at a private college in Salt Lake. On May 21, she had spoken to her mother around 1.45am and had asked her to call her up again around 4am so that she could prepare herself for her exams. Sources said it was around the same time that the girl spoke to the accused who had helped her in her initial days in college. In the morning, when her mother called her, there was no response. She informed the landlord who then broke open the door to find the victim hanging. The victim’s father, a local municipality employee, said he had sent her daughter to Kolkata for her secure future. Sources said the woman didn’t seem to be under stress when she last spoke to her mother hours before her death. Cops said they were depending on common friends of the two in order to complete the probe. “We shall speak to their friends to ascertain if the accused had a motive in abeting the woman’s death. We are collecting all previous detail records between the two in this regard,” said a senior investigating officer. ",30-05-2019,"['suicide', 'complaint', 'suicide', 'seriousness', 'complaint', 'broke', 'stress', 'death', 'death']"
704,JAIPUR,['17-year-old'],"Scolded, girl jumps to death in school","JAIPUR: A class XII girl in Sikar committed suicide by jumping off her school terrace after she was reprimanded by her teachers on Thursday. The parent of the 17-year-old alleged on Friday that the school staff had insulted her in the classs due to which she ended her life. “The parents have alleged that the girl was laughing with one her friends in the class when one of the teachers scolded her. She went upstairs to the fourth floor and jumped off,” said an official. Sikar city CO, Girdhari Lal Sharma told TOI that parents late afternoon had agreed for the post-mortem and efforts are being made to speak to them about the girl’s last rites. “We have registered a case against the principal and the school staff based on her father’s FIR, a case of murder has been registered and we are investigating the case,” Sharma said. The father in her report to the police alleged foul play and said that the school staff had kept the family in dark about their daughter’s death. “The family alleged that at 10 am they had received a call from the school that their daughter is laughing and talking in the class. The mother said to have even apologized, but a few hour later they were informed that their daughter has sustained some injuries and was rushed to the hospital,” an official told TOI, adding that her father has also complained that the school’s conduct during the entire tragic incident was highly suspicious. Sources in Sikar police said that there was winter vacation in the school but extra classes were in progress due to board examination. The police have also recorded statements of the school’s staff and student while a CCTV footage from first floor of the school has been retrieved. Initial probe has revealed that two members of the cleaning staff from the ground had spotted the girl standing on the edge of school terrace. They had also clicked her photo and quickly alerted the school staff but the student had already jumped off the building. “We have learnt that she had scored very good marks in class X, but the family has alleged that she was asked to leave the class room which humiliated her. We are investigating the case,” the official said. ",29-12-2018,"['suicide', 'insulted', 'scolded', 'murder', 'foul', 'dark', 'death', 'complained', 'tragic', 'suspicious']"
705,THANE,[],"14-year-old kills self in tribal hostel, may have been harrassed, say cops","THANE: A 14-year old girl committed suicide by hanging herself at a state-run tribal students hostel in Shahapur taluka of Thane district on Tuesday night. The girl left behind a suicide note in which she wrote, “I am not happy at the hostel and do not want to live here.” Police suspect she was being harrassed by someone at the hostel. On her father’s complaint, local Shahapur police have registered an abetment of suicide case against an unidentified person from the hostel and begun probe into the matter. The girl, identified as Deepali Vangad, was a Class VIII student of the hostel in Aghai village. Police said the suicide came to light at 7pm on Tuesday after dinner when students noticed that Deepali was not present for the attendance call. Hostel staff launched a search and found Deepali hanging by a dupatta at a window. They rushed her to the state-run Shahapur Rahman Hospital where a doctor declared her brought dead on arrival. Anil Rathod, an investigating officer from Shahapur police station, told TOI: “The suicide note indicates that the girl was harrassed by someone at the hostel, which led her to take such an extreme step.” Despite several attempts to contact them, the hostel management did not respond. Police sources said the management has ordered an internal inquiry into the matter. Police said once her parents are in a position to talk, they will ask them if anyone had been harrassing the child. The girl’s post-mortem has confirmed death by hanging. ",27-12-2018,"['suicide', 'suicide', 'suspect', 'complaint', 'suicide', 'suicide', 'dead', 'suicide', 'death']"
706,KOLKATA,[],"Teen lovers flee home, hang selves","KOLKATA: Two teenagers in a relationship with each other, both Class IX students, allegedly committed suicide in the early hours of Sunday at a relative's home in Nimta, North Dum Dum, where they had taken shelter after facing tremendous opposition from their families. Ashis Halder (15) and Debanjali Sinha (14), both students of an English-medium school in Bongaon, were found hanging from the ceiling at Ashis's home. They had fled home on Saturday . Police suspect the duo, who fled home after being rebuked by their parents for their relationship, committed suicide as they were too scared to go back home to face their parents. Sources said both the families had found out about their whereabouts, and were supposed to bring them back home with the help of cops. Sources said Ashis and Debanjali, both residents of Bongaon's Subhasnagar, had been in a relationship for over a year, and that their parents were strong ly opposed to it. “They were pressured to break up the relationship. The girl's family had stopped her from stepping out of home to even attend school in the recent past,“ said a local source. On Saturday , Debanjali somehow managed to escape home and met Ashis.The duo decided to elope and marry , said cops. They boarded the down BongaonSealdah local from Bongaon station and got down at Birati to reach the home of Ashis' maternal uncle, Gopal Biswas, at Nimta's Pratapgarh. When Biswas came to know they had fled, he immediately informed Ashis's family . “The duo was asked to stay the night at Biswas' house and not step out.When the teenagers came to know that their parents, accompanied by police, would come to bring them back home the next morning, they became scared,“ said a relative of the boy. Biswas's family members said they had tried their best to convince them, but they never imagined the duo would do something like this. “We had told them that they shouldn't have fled home, and tried to persuade them to go back home to their parents. The girl kept crying and we calmed her and assured them that everything would change,“ Biswas said. The bodies have been sent for postmortem. “We suspect the two ended their lives because their families were opposed to their relationship. An investigation is on,“ said Nirupam Ghosh, officer-in-charge of Nimta police station. ",05-06-2017,"['suicide', 'opposition', 'suspect', 'suicide', 'scared', 'break', 'scared', 'suspect']"
